Borough,year,median,qtr,yy
City of London,1996,105000.00,4,1995
Barking and Dagenham,1996,49000.00,4,1995
Barnet,1996,85125.00,4,1995
Bexley,1996,62000.00,4,1995
Brent,1996,68000.00,4,1995
Bromley,1996,76625.00,4,1995
Camden,1996,114000.00,4,1995
Croydon,1996,60000.00,4,1995
Ealing,1996,75000.00,4,1995
Enfield,1996,66000.00,4,1995
Greenwich,1996,61500.00,4,1995
Hackney,1996,61975.00,4,1995
Hammersmith and Fulham,1996,109500.00,4,1995
Haringey,1996,66500.00,4,1995
Harrow,1996,79950.00,4,1995
Havering,1996,66375.00,4,1995
Hillingdon,1996,71000.00,4,1995
Hounslow,1996,73000.00,4,1995
Islington,1996,95000.00,4,1995
Kensington and Chelsea,1996,172750.00,4,1995
Kingston upon Thames,1996,81000.00,4,1995
Lambeth,1996,66000.00,4,1995
Lewisham,1996,55500.00,4,1995
Merton,1996,74450.00,4,1995
Newham,1996,46750.00,4,1995
Redbridge,1996,67995.00,4,1995
Richmond upon Thames,1996,108000.00,4,1995
Southwark,1996,71000.00,4,1995
Sutton,1996,67000.00,4,1995
Tower Hamlets,1996,67500.00,4,1995
Waltham Forest,1996,55000.00,4,1995
Wandsworth,1996,85500.00,4,1995
Westminster,1996,127550.00,4,1995
City of London,1996.25,112500.00,1,1996
Barking and Dagenham,1996.25,49995.00,1,1996
Barnet,1996.25,85000.00,1,1996
Bexley,1996.25,62000.00,1,1996
Brent,1996.25,69000.00,1,1996
Bromley,1996.25,77000.00,1,1996
Camden,1996.25,112000.00,1,1996
Croydon,1996.25,60000.00,1,1996
Ealing,1996.25,75000.00,1,1996
Enfield,1996.25,65000.00,1,1996
Greenwich,1996.25,60000.00,1,1996
Hackney,1996.25,64000.00,1,1996
Hammersmith and Fulham,1996.25,113000.00,1,1996
Haringey,1996.25,67000.00,1,1996
Harrow,1996.25,80000.00,1,1996
Havering,1996.25,66998.00,1,1996
Hillingdon,1996.25,71000.00,1,1996
Hounslow,1996.25,73000.00,1,1996
Islington,1996.25,95000.00,1,1996
Kensington and Chelsea,1996.25,175000.00,1,1996
Kingston upon Thames,1996.25,82500.00,1,1996
Lambeth,1996.25,67000.00,1,1996
Lewisham,1996.25,56000.00,1,1996
Merton,1996.25,75000.00,1,1996
Newham,1996.25,47000.00,1,1996
Redbridge,1996.25,67250.00,1,1996
Richmond upon Thames,1996.25,110000.00,1,1996
Southwark,1996.25,70000.00,1,1996
Sutton,1996.25,66500.00,1,1996
Tower Hamlets,1996.25,67500.00,1,1996
Waltham Forest,1996.25,55000.00,1,1996
Wandsworth,1996.25,87000.00,1,1996
Westminster,1996.25,128000.00,1,1996
City of London,1996.5,112375.00,2,1996
Barking and Dagenham,1996.5,50000.00,2,1996
Barnet,1996.5,85000.00,2,1996
Bexley,1996.5,63125.00,2,1996
Brent,1996.5,70000.00,2,1996
Bromley,1996.5,77000.00,2,1996
Camden,1996.5,117000.00,2,1996
Croydon,1996.5,61000.00,2,1996
Ealing,1996.5,76000.00,2,1996
Enfield,1996.5,67000.00,2,1996
Greenwich,1996.5,62000.00,2,1996
Hackney,1996.5,64000.00,2,1996
Hammersmith and Fulham,1996.5,115000.00,2,1996
Haringey,1996.5,68000.00,2,1996
Harrow,1996.5,80000.00,2,1996
Havering,1996.5,67000.00,2,1996
Hillingdon,1996.5,71000.00,2,1996
Hounslow,1996.5,73000.00,2,1996
Islington,1996.5,98500.00,2,1996
Kensington and Chelsea,1996.5,180000.00,2,1996
Kingston upon Thames,1996.5,84500.00,2,1996
Lambeth,1996.5,69500.00,2,1996
Lewisham,1996.5,56500.00,2,1996
Merton,1996.5,75000.00,2,1996
Newham,1996.5,47000.00,2,1996
Redbridge,1996.5,68500.00,2,1996
Richmond upon Thames,1996.5,111500.00,2,1996
Southwark,1996.5,71000.00,2,1996
Sutton,1996.5,66500.00,2,1996
